sample_id,coyote,deer_mouse,frog,bottas_pocket_gopher,brandts_cormorant,pelagic_cormorant,california_vole,brush_rabbit,american_robin,woodrat,domestic_cattle,wild_boar,california_sea_lion,western_harvest_mouse,cricket,dung_beetle,chicken,grey_fox,california_ground_squirrel,common_raven,song_sparrow,wild_turkey,skiltons_skink,bobcat,mule_deer,white_crowned_sparrow,spotted_towhee,earwig,heermans_kangaroo_rat,california_alligator_lizard,gopher_snake,carpet_beetle,rove_beetle,california_quail,american_shad,sharpnose_anchovy,acorn_woodpecker,downy_woodpecker,clam,striped_skunk,american_badger,harvestor_ant,western_scrub_jay,harbor_seal,puma,guadelupe_fur_seal,red_fox,stonefly,western_rattlesnake,house_mouse,black_rat,host,marine_present,terrestrial_present,diet_category,site,lon,lat
C.07.06.23.B1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.880629,34.41296065
C.07.06.23.C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,FALSE,none,Coal Oil Point,-119.8811203,34.4164735
C.07.12.23.C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8811344,34.41584145
C.07.12.23.C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.880771,34.41540984
C.07.12.23.C3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8794748,34.41469753
C.07.12.23.C4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8790942,34.41421902
C.07.12.23.C5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8795097,34.41300588
C.07.15.23.C1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8793886,34.41289199
C.07.15.23.C2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8811469,34.41651506
C.07.17.23.C1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8774111,34.41625971
C.07.24.23.C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8810884,34.41675396
C.08.07.23.C1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.8809821,34.41562313
C.08.07.23.C2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Coal Oil Point,-119.879455,34.41301356
D.06.14.23.B1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.45304,34.44623
D.08.14.23.B1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,TRUE,terrestrial,Dangermond,-120.4447471,34.46063389
D.08.14.23.B2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,TRUE,terrestrial,Dangermond,-120.4447396,34.46063476
D.08.14.23.B3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,TRUE,terrestrial,Dangermond,-120.4447251,34.46040687
D.08.14.23.B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,FALSE,none,Dangermond,-120.4443893,34.45993815
D.08.14.23.C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,TRUE,terrestrial,Dangermond,-120.444781,34.46101845
D.08.14.23.C2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.4723873,34.46018992
D.08.14.23.C3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4733194,34.46328754
D.08.14.23.C4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4733176,34.46328406
D.08.14.23.C5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4730683,34.45980363
D.08.14.23.C6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4731087,34.45980864
D.08.14.23.C7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4664475,34.46946317
D.08.14.23.F1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.4724606,34.4600484
D.08.14.23.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4405658,34.45195085
D.08.14.23.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4407223,34.45240724
D.08.14.23.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4415117,34.4521709
D.06.14.23.C1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.45315,34.44528
D.06.14.23.C2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.45438,34.4433
D.06.14.23.C3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.45438,34.4433
D.06.14.23.D1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.47216,34.45821
D.08.18.23.C2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4664173,34.45330588
D.08.18.23.P1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4403179,34.45273212
D.06.14.23.F1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,TRUE,TRUE,mixed,Dangermond,-120.45274,34.44671
D.06.14.23.F2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.45275,34.44694
D.08.23.23.B1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,TRUE,terrestrial,Dangermond,-120.4157224,34.45357455
D.08.23.23.B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bobcat,FALSE,FALSE,none,Dangermond,-120.4182382,34.45323245
D.08.23.23.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.444762,34.451412
D.10.24.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4462502,34.46668908
D.10.26.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4462502,34.46668908
D.10.26.22.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4461911,34.46663783
D.10.26.22.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4461911,34.46663783
D.10.26.22.H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4461914,34.466683
D.10.26.22.H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4461914,34.466683
D.10.26.22.H6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4462271,34.46667773
D.10.26.22.H7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4462271,34.46667773
D.11.30.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4494916,34.49937134
D.11.30.22.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4494916,34.49937134
D.11.30.22.H3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,TRUE,terrestrial,Dangermond,-120.4497071,34.49724494
D.11.30.22.H4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,TRUE,terrestrial,Dangermond,-120.4497071,34.49724494
D.11.30.22.H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4493466,34.49912419
D.11.30.22.H6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.44935,34.4991242
D.10.25.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4239869,34.4642289
D.10.25.22.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4239869,34.4642289
D.07.13.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4561956,34.47242784
D.07.13.22.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4562102,34.47239728
D.07.13.23.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4562102,34.47239728
D.07.13.22.H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4561956,34.47242784
D.09.09.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4168428,34.45527442
D.09.09.22.H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4530609,34.44672553
D.09.09.22.H3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4530609,34.44672553
D.09.09.22.H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,NA,NA
D.09.09.22.H5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coyote,FALSE,FALSE,none,Dangermond,NA,NA
D.09.09.22.H6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4168144,34.45526935
D.09.09.22.H7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.41681,34.4552694
D.09.09.22.H8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,FALSE,none,Dangermond,-120.4168428,34.45527442
D.07.14.22.H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wild boar,FALSE,TRUE,terrestrial,Dangermond,NA,NA
